116.39975,39.90098
116.39845,39.90147
116.39809,39.90155
116.39762,39.90327
116.3982,39.90168
116.39839,39.90013
116.39949,39.89891
116.39793,39.89907
116.39839,39.89973
116.40016,39.90113
116.3989,39.90031
116.39739,39.89957
116.39546,39.89953
116.39374,39.90088
116.39551,39.90021
116.397,39.90152
116.39866,39.90205
116.39828,39.90223
116.39773,39.90411
116.39748,39.90289
116.39739,39.90223
116.39673,39.90041
116.39638,39.90007
116.39693,39.90186
116.39539,39.90215
116.39567,39.90088
116.3937,39.90248
116.39533,39.90404
116.39586,39.90364
116.3953,39.90329
116.39446,39.90351
116.39446,39.90219
116.39359,39.9024
116.39441,39.90407
116.39572,39.90293
116.39719,39.90097
116.39854,39.90064
116.39888,39.89927
116.39989,39.89884
116.40043,39.89953
116.4006,39.90116
116.39888,39.89916
116.39723,39.90008
116.39719,39.8988
116.3986,39.89865
116.39893,39.90042
116.40054,39.89999
116.39937,39.90012
116.40124,39.90074
116.40178,39.90211
116.40188,39.90047
116.40296,39.8993
116.40148,39.9013
116.40304,39.90047
116.40127,39.90193
116.40157,39.90234
116.39959,39.90238
116.39828,39.90302
116.39939,39.90363
116.40028,39.90504
116.40166,39.90349
116.4019,39.90361
116.40316,39.90314
116.40429,39.90394
116.40253,39.90411
116.40107,39.9037
116.40179,39.90232
116.40348,39.90362
116.40542,39.90248
116.40727,39.90429
116.40739,39.90314
116.40804,39.90312
116.40893,39.90464
116.40945,39.90658
116.40871,39.90575
116.40965,39.90389
116.40982,39.90577
116.41128,39.90618
116.4109,39.90633
116.41257,39.90646
116.41341,39.90472
116.41379,39.90634
116.4145,39.90559
116.41332,39.90488
116.41454,39.90631
116.41461,39.90496
116.4148,39.9057
116.41417,39.90397
116.41522,39.90294
116.41436,39.90486
116.41496,39.90337
116.41395,39.9051
116.41484,39.90404
116.41609,39.90343
116.41619,39.90158
116.41686,39.90248
116.41507,39.90108
116.41662,39.89971
116.41849,39.89892
116.41745,39.89929
116.4174,39.90118
116.41548,39.90302
116.41579,39.90355
116.41697,39.90288
116.41517,39.90457
116.41451,39.90549
116.41252,39.90457
116.41101,39.90513
116.40952,39.90356
116.40889,39.90539
